シーズン,日付,ゲームタイプ,球団,ホーム・ビジター,結果,スコア,対戦球団,R,H,E,ボックススコア,回戦,球場,試合開始,試合時間,入場者,GameID
2025,2025-04-08,公式戦,広島東洋カープ,ビジター,T,1,中日ドラゴンズ,1,5,1,"0,0,0,0,0,0,1,0,0,0,0,0",1,岐　阜,18:00,03:38,12673,GAME20250408CDHC0052
2025,2025-04-08,公式戦,中日ドラゴンズ,ホーム,T,1,広島東洋カープ,1,3,0,"0,0,0,1,0,0,0,0,0,0,0,0",1,岐　阜,18:00,03:38,12673,GAME20250408CDHC0052
2025,2025-04-08,公式戦,読売ジャイアンツ,ビジター,T,3,横浜DeNAベイスターズ,3,10,1,"0,0,0,0,0,1,0,2,0,0,0,0",1,横　浜,18:00,04:16,33154,GAME20250408DBYG0051
2025,2025-04-08,公式戦,横浜DeNAベイスターズ,ホーム,T,3,読売ジャイアンツ,3,10,0,"0,0,0,2,0,0,1,0,0,0,0,0",1,横　浜,18:00,04:16,33154,GAME20250408DBYG0051
2025,2025-04-08,公式戦,東京ヤクルトスワローズ,ビジター,W,1,阪神タイガース,1,5,0,"0,0,0,0,0,0,0,1,0",1,甲子園,18:03,02:44,42608,GAME20250408HTYS0054
2025,2025-04-08,公式戦,阪神タイガース,ホーム,L,0,東京ヤクルトスワローズ,0,3,0,"0,0,0,0,0,0,0,0,0",1,甲子園,18:03,02:44,42608,GAME20250408HTYS0054
2025,2025-04-08,公式戦,福岡ソフトバンクホークス,ビジター,W,5,オリックス・バファローズ,5,10,0,"1,2,0,0,0,2,0,0,0",1,京セラD大阪,18:00,03:13,20834,GAME20250408OBSH0050
2025,2025-04-08,公式戦,オリックス・バファローズ,ホーム,L,2,福岡ソフトバンクホークス,2,11,3,"0,0,0,0,0,2,0,0,0",1,京セラD大阪,18:00,03:13,20834,GAME20250408OBSH0050
2025,2025-04-08,公式戦,北海道日本ハムファイターズ,ビジター,W,5,東北楽天ゴールデンイーグルス,5,9,0,"0,0,0,2,0,0,0,0,3",1,楽天モバイル,18:01,02:58,23024,GAME20250408RENF0053
2025,2025-04-08,公式戦,東北楽天ゴールデンイーグルス,ホーム,L,2,北海道日本ハムファイターズ,2,4,0,"0,2,0,0,0,0,0,0,0",1,楽天モバイル,18:01,02:58,23024,GAME20250408RENF0053
2025,2025-04-08,公式戦,千葉ロッテマリーンズ,ビジター,W,7,埼玉西武ライオンズ,7,11,0,"1,0,0,0,0,2,4,0,0",1,ベルーナドーム,18:00,03:02,19889,GAME20250408SLLM0055
2025,2025-04-08,公式戦,埼玉西武ライオンズ,ホーム,L,3,千葉ロッテマリーンズ,3,7,0,"1,0,0,0,0,0,0,0,2",1,ベルーナドーム,18:00,03:02,19889,GAME20250408SLLM0055
2025,2025-04-09,公式戦,広島東洋カープ,ビジター,L,1,中日ドラゴンズ,1,7,0,"0,0,0,0,0,0,0,1,0",2,バンテリンドーム,18:00,02:45,30340,GAME20250409CDHC0058
2025,2025-04-09,公式戦,中日ドラゴンズ,ホーム,W,3,広島東洋カープ,3,7,1,"0,1,0,0,0,0,0,2,x",2,バンテリンドーム,18:00,02:45,30340,GAME20250409CDHC0058
2025,2025-04-09,公式戦,読売ジャイアンツ,ビジター,W,6,横浜DeNAベイスターズ,6,12,0,"0,0,0,2,0,0,2,1,1",2,横　浜,18:00,03:06,33443,GAME20250409DBYG0057
2025,2025-04-09,公式戦,横浜DeNAベイスターズ,ホーム,L,3,読売ジャイアンツ,3,6,0,"0,0,0,0,0,0,0,0,3",2,横　浜,18:00,03:06,33443,GAME20250409DBYG0057
2025,2025-04-09,公式戦,東京ヤクルトスワローズ,ビジター,W,5,阪神タイガース,5,6,3,"0,0,0,0,0,5,0,0,0",2,甲子園,18:01,03:22,42580,GAME20250409HTYS0060
2025,2025-04-09,公式戦,阪神タイガース,ホーム,L,3,東京ヤクルトスワローズ,3,6,1,"0,3,0,0,0,0,0,0,0",2,甲子園,18:01,03:22,42580,GAME20250409HTYS0060
2025,2025-04-09,公式戦,福岡ソフトバンクホークス,ビジター,W,10,オリックス・バファローズ,10,15,1,"0,0,1,0,1,0,0,3,5",2,京セラD大阪,18:00,03:54,19645,GAME20250409OBSH0056
2025,2025-04-09,公式戦,オリックス・バファローズ,ホーム,L,9,福岡ソフトバンクホークス,9,15,1,"0,2,0,1,2,1,0,0,3",2,京セラD大阪,18:00,03:54,19645,GAME20250409OBSH0056
2025,2025-04-09,公式戦,北海道日本ハムファイターズ,ビジター,W,8,東北楽天ゴールデンイーグルス,8,17,0,"0,1,0,0,3,0,0,4,0",2,楽天モバイル,18:00,03:37,20007,GAME20250409RENF0059
2025,2025-04-09,公式戦,東北楽天ゴールデンイーグルス,ホーム,L,2,北海道日本ハムファイターズ,2,9,1,"0,1,0,0,0,0,0,0,1",2,楽天モバイル,18:00,03:37,20007,GAME20250409RENF0059
2025,2025-04-09,公式戦,千葉ロッテマリーンズ,ビジター,L,0,埼玉西武ライオンズ,0,2,1,"0,0,0,0,0,0,0,0,0",2,県営大宮,18:00,02:21,16734,GAME20250409SLLM0061
2025,2025-04-09,公式戦,埼玉西武ライオンズ,ホーム,W,2,千葉ロッテマリーンズ,2,7,0,"2,0,0,0,0,0,0,0,x",2,県営大宮,18:00,02:21,16734,GAME20250409SLLM0061
2025,2025-04-10,公式戦,広島東洋カープ,ビジター,W,2,中日ドラゴンズ,2,8,0,"0,0,0,0,0,0,1,0,0,0,1",3,バンテリンドーム,18:00,03:26,29117,GAME20250410CDHC0063
2025,2025-04-10,公式戦,中日ドラゴンズ,ホーム,L,1,広島東洋カープ,1,7,1,"0,0,0,0,1,0,0,0,0,0,0",3,バンテリンドーム,18:00,03:26,29117,GAME20250410CDHC0063
2025,2025-04-10,公式戦,福岡ソフトバンクホークス,ビジター,T,1,オリックス・バファローズ,1,8,0,"0,1,0,0,0,0,0,0,0,0,0,0",3,京セラD大阪,18:01,04:20,19481,GAME20250410OBSH0062
