date,game_id,home,away,home_score,away_score,stadium,start_time,home_elo_before,away_elo_before,home_expected_win_rate,home_elo_change,home_elo_after,away_elo_after
2025-05-31,GAME20250531CDYG0292,中日,巨人,4,2,バンテリンドーム,14:01,1469.5976541857892,1538.1365199111017,0.451883059544413,10.96233880911174,1480.559992994901,1527.17418110199
2025-05-31,GAME20250531DBYS0291,DeNA,ヤクルト,5,2,横　浜,14:41,1530.4588846134602,1397.9356514021197,0.7239901529917977,5.5201969401640465,1535.9790815536242,1392.4154544619557
2025-06-01,GAME20250601CDYG0297,中日,巨人,4,1,バンテリンドーム,13:30,1480.559992994901,1527.17418110199,0.48329206272750386,10.334158745449923,1490.894151740351,1516.84002235654
2025-06-01,GAME20250601HCHT0298,広島,阪神,0,8,マツダスタジアム,13:30,1506.6291982105283,1557.242091677001,0.4775463522732495,-9.55092704546499,1497.0782711650634,1566.793018722466
2025-06-01,GAME20250601DBYS0296,DeNA,ヤクルト,3,2,横　浜,14:00,1535.9790815536242,1392.4154544619557,0.736507567953238,5.26984864093524,1541.2489301945593,1387.1456058210206
2025-06-27,GAME20250627CDHC0412,中日,広島,3,2,バンテリンドーム,18:00,1490.894151740351,1497.0782711650634,0.541374559481255,9.1725088103749,1500.0666605507258,1487.9057623546885
2025-06-27,GAME20250627YGDB0413,巨人,DeNA,4,0,東京ドーム,18:00,1516.84002235654,1541.2489301945593,0.5152370874326508,9.695258251346983,1526.535280607887,1531.5536719432123
2025-06-27,GAME20250627YSHT0410,ヤクルト,阪神,4,3,神　宮,18:00,1387.1456058210206,1566.793018722466,0.3030834614779816,13.938330770440368,1401.083936591461,1552.8546879520256
2025-06-28,GAME20250628YGDB0419,巨人,DeNA,5,0,東京ドーム,14:00,1526.535280607887,1531.5536719432123,0.5430402210010646,9.139195579978708,1535.6744761878656,1522.4144763632337
2025-06-28,GAME20250628YSHT0416,ヤクルト,阪神,0,2,神　宮,14:00,1401.083936591461,1552.8546879520256,0.33800742471208756,-6.760148494241751,1394.3237880972192,1559.6148364462674
2025-06-28,GAME20250628CDHC0418,中日,広島,1,2,バンテリンドーム,14:03,1500.0666605507258,1487.9057623546885,0.5674561951048446,-11.349123902096892,1488.717536648629,1499.2548862567853
2025-06-29,GAME20250629CDHC0424,中日,広島,1,2,バンテリンドーム,13:30,1488.717536648629,1499.2548862567853,0.5351465239599938,-10.702930479199877,1478.014606169429,1509.9578167359853
2025-06-29,GAME20250629YSHT0422,ヤクルト,阪神,0,6,神　宮,13:31,1394.3237880972192,1559.6148364462674,0.3208179094733014,-6.416358189466028,1387.907429907753,1566.0311946357335
2025-06-29,GAME20250629YGDB0425,巨人,DeNA,1,0,東京ドーム,14:00,1535.6744761878656,1522.4144763632337,0.5690084721136267,8.619830557727466,1544.294306745593,1513.7946458055062
2025-07-01,GAME20250701HCYS0429,広島,ヤクルト,2,2,マツダスタジアム,18:00,1509.9578167359853,1387.907429907753,0.7117820312620324,-4.235640625240649,1505.7221761107446,1392.1430705329938
2025-07-01,GAME20250701HTYG0431,阪神,巨人,2,1,甲子園,18:01,1566.0311946357335,1544.294306745593,0.5809327956443963,8.381344087112074,1574.4125387228455,1535.912962658481
2025-07-01,GAME20250701DBCD0428,DeNA,中日,3,2,横　浜,18:15,1513.7946458055062,1478.014606169429,0.6004745185494108,7.990509629011784,1521.785155434518,1470.0240965404173
2025-07-02,GAME20250702DBCD0434,DeNA,中日,4,3,横　浜,18:01,1521.785155434518,1470.0240965404173,0.6223269684921344,7.5534606301573115,1529.3386160646753,1462.47063591026
2025-07-02,GAME20250702HCYS0435,広島,ヤクルト,2,1,マツダスタジアム,18:01,1505.7221761107446,1392.1430705329938,0.7016756795756038,5.966486408487923,1511.6886625192326,1386.1765841245058
2025-07-02,GAME20250702HTYG0437,阪神,巨人,1,0,甲子園,18:01,1574.4125387228455,1535.912962658481,0.6042242331595482,7.915515336809036,1582.3280540596545,1527.997447321672
2025-07-03,GAME20250703HCYS0441,広島,ヤクルト,0,5,マツダスタジアム,18:00,1511.6886625192326,1386.1765841245058,0.7158527291947413,-14.317054583894826,1497.3716079353378,1400.4936387084006
2025-07-03,GAME20250703DBCD0440,DeNA,中日,8,5,横　浜,18:01,1529.3386160646753,1462.47063591026,0.6425385363510794,7.149229272978412,1536.4878453376537,1455.3214066372816
2025-07-03,GAME20250703HTYG0442,阪神,巨人,3,2,甲子園,18:01,1582.3280540596545,1527.997447321672,0.6257971644164525,7.48405671167095,1589.8121107713255,1520.5133906100011
2025-07-04,GAME20250704CDYS0446,中日,ヤクルト,2,1,バンテリンドーム,18:00,1455.3214066372816,1400.4936387084006,0.626467106038242,7.47065787923516,1462.7920645165168,1393.0229808291654
2025-07-04,GAME20250704YGHC0447,巨人,広島,1,0,東京ドーム,18:00,1520.5133906100011,1497.3716079353378,0.5829003309740108,8.341993380519783,1528.855383990521,1489.029614554818
2025-07-04,GAME20250704DBHT0445,DeNA,阪神,1,7,横　浜,18:01,1536.4878453376537,1589.8121107713255,0.4736536865609499,-9.473073731218998,1527.0147716064346,1599.2851845025446
2025-07-05,GAME20250705CDYS0452,中日,ヤクルト,4,6,バンテリンドーム,14:00,1462.7920645165168,1393.0229808291654,0.6463650625906477,-12.927301251812954,1449.864763264704,1405.9502820809782
2025-07-05,GAME20250705YGHC0453,巨人,広島,0,0,東京ドーム,18:00,1528.855383990521,1489.029614554818,0.6060483907917167,-2.1209678158343337,1526.7344161746867,1491.1505823706523
2025-07-05,GAME20250705DBHT0451,DeNA,阪神,0,3,横　浜,18:01,1527.0147716064346,1599.2851845025446,0.44656836153002644,-8.931367230600529,1518.083404375834,1608.216551733145
