date,game_id,home,away,home_score,away_score,stadium,start_time
2025-07-12,GAME20250712CDHC0484,中日,広島,7,1,バンテリンドーム,14:00
2025-07-12,GAME20250712DBYG0482,DeNA,巨人,0,3,横　浜,18:01
2025-07-12,GAME20250712HTYS0487,阪神,ヤクルト,5,2,甲子園,18:01
2025-07-13,GAME20250713CDHC0490,中日,広島,3,2,バンテリンドーム,13:31
2025-07-13,GAME20250713DBYG0488,DeNA,巨人,4,3,横　浜,18:00
2025-07-13,GAME20250713HTYS0493,阪神,ヤクルト,2,1,甲子園,18:02
2025-07-15,GAME20250715HCDB0497,広島,DeNA,0,1,マツダスタジアム,18:00
2025-07-15,GAME20250715HTCD0498,阪神,中日,2,3,甲子園,18:01
2025-07-16,GAME20250716HCDB0501,広島,DeNA,4,3,マツダスタジアム,18:01
2025-07-16,GAME20250716HTCD0502,阪神,中日,0,6,甲子園,18:02
2025-07-17,GAME20250717YSYG0505,ヤクルト,巨人,3,2,神　宮,18:00
2025-07-17,GAME20250717HCDB0506,広島,DeNA,1,1,マツダスタジアム,18:01
2025-07-19,GAME20250719CDDB0511,中日,DeNA,7,2,バンテリンドーム,14:00
2025-07-19,GAME20250719YGHT0512,巨人,阪神,0,4,東京ドーム,18:00
2025-07-19,GAME20250719YSHC0509,ヤクルト,広島,3,1,神　宮,18:00
2025-07-20,GAME20250720CDDB0517,中日,DeNA,3,5,バンテリンドーム,13:30
2025-07-20,GAME20250720YGHT0518,巨人,阪神,1,2,東京ドーム,14:00
2025-07-20,GAME20250720YSHC0515,ヤクルト,広島,8,7,神　宮,18:00
2025-07-21,GAME20250721CDDB0523,中日,DeNA,0,1,バンテリンドーム,14:00
2025-07-21,GAME20250721YGHT0524,巨人,阪神,6,5,東京ドーム,14:01
2025-07-21,GAME20250721YSHC0521,ヤクルト,広島,7,6,神　宮,18:00
2025-07-26,GAME20250726YSCD0528,ヤクルト,中日,2,1,神　宮,18:00
